row,label,tool,rackup,rps_med,p99_med,trials,note
1,hyperion_handle_static_iouring,wrk,bench/hello_static.ru,133211.12,1.01ms,(3 trials median; per-trial values not preserved by run_all.sh OUT_CSV overwrite),pre-2.17 baseline (master @08cd0cb)
3,hyperion_handle_block,wrk,bench/hello_handle_block.ru,8727.04,187.00us,8761.54|8682.16|8727.04,pre-2.17 baseline (master @08cd0cb)
